"","iso_2","iso_3","country","continent","oecd","year","category","share"
"176","CA","CAN","Canada","NO",1,"2020","6000","0.117"
"177","CA","CAN","Canada","NO",1,"2018","1100","35.86"
"178","CA","CAN","Canada","NO",1,"1990","3000","2.252"
"179","CA","CAN","Canada","NO",1,"2022","6000","0.105"
"180","CA","CAN","Canada","NO",1,"2018","1300","1.192"
"181","CA","CAN","Canada","NO",1,"2018","3000","1.986"
"182","CA","CAN","Canada","NO",1,"1990","2000","12.145"
"183","CA","CAN","Canada","NO",1,"1990","5000","25.841"
"184","CA","CAN","Canada","NO",1,"2020","1300","0.975"
"185","CH","CHE","Switzerland","EU",1,"1990","5000","20.92"
"186","CH","CHE","Switzerland","EU",1,"2020","1100","32.088"
"187","CH","CHE","Switzerland","EU",1,"2018","5000","20.484"
"188","CH","CHE","Switzerland","EU",1,"2018","4000","7.513"
"189","CH","CHE","Switzerland","EU",1,"2019","5000","19.898"
"190","CH","CHE","Switzerland","EU",1,"1990","1300","7.091"
"191","CH","CHE","Switzerland","EU",1,"2021","1100","30.349"
"192","CH","CHE","Switzerland","EU",1,"2022","1100","31.155"
"193","CH","CHE","Switzerland","EU",1,"2021","1300","6.412"
"194","CH","CHE","Switzerland","EU",1,"1990","6000","0.163"
"195","CH","CHE","Switzerland","EU",1,"1990","1100","32.339"
"196","CH","CHE","Switzerland","EU",1,"1990","2000","23.291"
"197","CH","CHE","Switzerland","EU",1,"2021","3000","0"
"198","CH","CHE","Switzerland","EU",1,"2019","1100","30.659"
"199","CH","CHE","Switzerland","EU",1,"2018","1100","30.703"
"200","CH","CHE","Switzerland","EU",1,"2022","3000","0"
"201","CH","CHE","Switzerland","EU",1,"1990","4000","8.862"
"202","CH","CHE","Switzerland","EU",1,"2020","3000","0"
"203","CH","CHE","Switzerland","EU",1,"1990","3000","0"
"204","CH","CHE","Switzerland","EU",1,"2022","1300","3.752"
"205","CH","CHE","Switzerland","EU",1,"2021","6000","0.507"
"206","CH","CHE","Switzerland","EU",1,"2020","1300","3.119"
"207","CH","CHE","Switzerland","EU",1,"2022","1200","11.608"
"208","CH","CHE","Switzerland","EU",1,"1990","1200","7.333"
"209","CH","CHE","Switzerland","EU",1,"2018","1300","5.584"
"210","CH","CHE","Switzerland","EU",1,"2022","6000","0.515"
"211","CH","CHE","Switzerland","EU",1,"2020","5000","20.001"
"212","CH","CHE","Switzerland","EU",1,"2019","1300","6.326"
"213","CH","CHE","Switzerland","EU",1,"2018","1200","11.363"
"214","CH","CHE","Switzerland","EU",1,"2020","1200","11.005"
"215","CH","CHE","Switzerland","EU",1,"2019","3000","0"
"216","CH","CHE","Switzerland","EU",1,"2020","6000","0.54"
"217","CH","CHE","Switzerland","EU",1,"2022","4000","8.207"
"218","CH","CHE","Switzerland","EU",1,"2019","1200","11.191"
"219","CH","CHE","Switzerland","EU",1,"2021","1200","10.93"
"220","CH","CHE","Switzerland","EU",1,"2018","3000","0"
"221","CH","CHE","Switzerland","EU",1,"2019","4000","7.673"
"222","CH","CHE","Switzerland","EU",1,"2020","4000","8.09"
"223","CH","CHE","Switzerland","EU",1,"2018","2000","23.821"
"224","CH","CHE","Switzerland","EU",1,"2018","6000","0.533"
"225","CH","CHE","Switzerland","EU",1,"2019","6000","0.512"
"226","CH","CHE","Switzerland","EU",1,"2022","5000","19.927"
"227","CH","CHE","Switzerland","EU",1,"2022","2000","24.837"
"228","CH","CHE","Switzerland","EU",1,"2020","2000","25.157"
"229","CH","CHE","Switzerland","EU",1,"2021","2000","24.231"
"230","CH","CHE","Switzerland","EU",1,"2021","4000","7.99"
"231","CH","CHE","Switzerland","EU",1,"2021","5000","19.581"
"232","CH","CHE","Switzerland","EU",1,"2019","2000","23.742"
"233","CL","CHL","Chile","SA",1,"2019","3000","0"
"234","CL","CHL","Chile","SA",1,"2020","6000","-0.451"
"235","CL","CHL","Chile","SA",1,"2021","6000","-1.469"
"236","CL","CHL","Chile","SA",1,"2018","6000","-1.11"
"237","CL","CHL","Chile","SA",1,"1990","1100","5.579"
"238","CL","CHL","Chile","SA",1,"2020","1200","24.293"
"239","CL","CHL","Chile","SA",1,"2022","1200","23.699"
"240","CL","CHL","Chile","SA",1,"2018","1200","22.127"
"241","CL","CHL","Chile","SA",1,"2019","6000","-0.611"
"242","CL","CHL","Chile","SA",1,"2018","1300","6.938"
"243","CL","CHL","Chile","SA",1,"2021","1200","17.107"
"244","CL","CHL","Chile","SA",1,"1990","2000","8.978"
"245","CL","CHL","Chile","SA",1,"2019","1200","23.394"
"246","CL","CHL","Chile","SA",1,"2019","2000","7.3"
"247","CL","CHL","Chile","SA",1,"2020","2000","7.999"
"248","CL","CHL","Chile","SA",1,"2018","3000","0"
"249","CL","CHL","Chile","SA",1,"2018","2000","6.911"
"250","CL","CHL","Chile","SA",1,"1990","3000","0"
"251","CL","CHL","Chile","SA",1,"2020","3000","0"
"252","CL","CHL","Chile","SA",1,"2021","5000","53.064"
"253","CL","CHL","Chile","SA",1,"1990","1200","12.356"
"254","CL","CHL","Chile","SA",1,"2019","5000","53.029"
"255","CL","CHL","Chile","SA",1,"2020","5000","54.808"
"256","CL","CHL","Chile","SA",1,"1990","1300","5.302"
"257","CL","CHL","Chile","SA",1,"2022","5000","47.838"
