"iso_2","iso_3","country","continent","oecd","year","category","value"
"BE","BEL","Belgium","EU",1,"2016","6000",0
"BE","BEL","Belgium","EU",1,"2017","6000",0
"BE","BEL","Belgium","EU",1,"2018","6000",0
"BE","BEL","Belgium","EU",1,"2013","1200",16.185
"BE","BEL","Belgium","EU",1,"2014","1200",16.697
"BE","BEL","Belgium","EU",1,"2015","1200",15.135
"BE","BEL","Belgium","EU",1,"2016","1200",16.189
"BE","BEL","Belgium","EU",1,"2009","6000",0.082
"BE","BEL","Belgium","EU",1,"2013","1100",67
"BE","BEL","Belgium","EU",1,"2015","2000",65.086
"BE","BEL","Belgium","EU",1,"2012","6000",0.058
"BE","BEL","Belgium","EU",1,"2008","3000",0.008
"BE","BEL","Belgium","EU",1,"2018","2000",72.009
"BE","BEL","Belgium","EU",1,"2019","2000",70.636
"BE","BEL","Belgium","EU",1,"2011","1200",14.836
"BE","BEL","Belgium","EU",1,"2012","1200",14.941
"BE","BEL","Belgium","EU",1,"2012","CUS",1.603
"BE","BEL","Belgium","EU",1,"2013","CUS",1.573
"BE","BEL","Belgium","EU",1,"2014","CUS",1.659
"BE","BEL","Belgium","EU",1,"2016","3000",0.009
"BE","BEL","Belgium","EU",1,"2017","3000",0.009
"BE","BEL","Belgium","EU",1,"2017","CUS",1.787
"BE","BEL","Belgium","EU",1,"2018","CUS",1.927
"BE","BEL","Belgium","EU",1,"2019","CUS",1.873
"BE","BEL","Belgium","EU",1,"2020","CUS",1.709
"BE","BEL","Belgium","EU",1,"2009","3000",0.008
"BE","BEL","Belgium","EU",1,"2010","3000",0.009
"BE","BEL","Belgium","EU",1,"2010","CUS",1.634
"BE","BEL","Belgium","EU",1,"2011","CUS",1.786
"BE","BEL","Belgium","EU",1,"2015","5000",50.177
"BE","BEL","Belgium","EU",1,"2008","1100",63.72
"BE","BEL","Belgium","EU",1,"2009","1100",58.345
"BE","BEL","Belgium","EU",1,"2010","1100",58.217
"BE","BEL","Belgium","EU",1,"2011","1100",64.063
"BE","BEL","Belgium","EU",1,"2013","2000",74.781
"BE","BEL","Belgium","EU",1,"2014","2000",75.736
"BE","BEL","Belgium","EU",1,"2009","4000",14.236
"BE","BEL","Belgium","EU",1,"2010","4000",14.902
"BE","BEL","Belgium","EU",1,"2011","4000",16.6
"BE","BEL","Belgium","EU",1,"2012","4000",16.253
"BE","BEL","Belgium","EU",1,"2013","4000",18.326
"BE","BEL","Belgium","EU",1,"2020","2000",70.43
"BE","BEL","Belgium","EU",1,"2016","4000",16.525
"BE","BEL","Belgium","EU",1,"2017","4000",17.351
"BE","BEL","Belgium","EU",1,"2018","4000",18.684
"BE","BEL","Belgium","EU",1,"2019","4000",18.311
"BE","BEL","Belgium","EU",1,"2020","4000",17.736
"BE","BEL","Belgium","EU",1,"2017","1200",20.401
"BE","BEL","Belgium","EU",1,"2010","6000",0.047
"BE","BEL","Belgium","EU",1,"2011","6000",0.059
"BE","BEL","Belgium","EU",1,"2020","1200",17.026
